library_id,id,treatment,wound,genet,tank,day,plate,symbiont_cells_per_cm2,genet_mean_heat_sensitivity,genet_pca_displacement,genet_resilience_rank
31C_T11_C_D10_U_id299,299,31C,no,c,11,10,2,1007094.3861813694,-0.028,1.06,1
31C_T11_C_D10_W_id269,269,31C,yes,c,11,10,2,937621.7003335648,-0.028,1.06,1
31C_T11_C_D1_U_id264,264,31C,no,c,11,1,2,727761.5169254263,-0.028,1.06,1
31C_T11_C_D1_W_id300,300,31C,yes,c,11,1,2,760300.8502289078,-0.028,1.06,1
31C_T11_D_D3_U_id185,185,31C,no,d,11,3,2,296178.87535458035,0.294,3.339,2
31C_T11_D_D3_W_id219,219,31C,yes,d,11,3,2,424564.30479582754,0.294,3.339,2
31C_T4_A_D3_U_id211,211,31C,no,a,4,3,2,664038.3057792177,0.427,3.724,3
31C_T4_A_D3_W_id138,138,31C,yes,a,4,3,2,340270.77632147487,0.427,3.724,3
31C_T4_C_D3_U_id289,289,31C,no,c,4,3,2,784525.0928254881,-0.028,1.06,1
31C_T4_C_D3_W_id295,295,31C,yes,c,4,3,2,863658.878090895,-0.028,1.06,1
31C_T4_D_D10_U_id230,230,31C,no,d,4,10,2,229156.53020087577,0.294,3.339,2
31C_T4_D_D10_W_id215,215,31C,yes,d,4,10,2,849436.9446538294,0.294,3.339,2
31C_T4_D_D1_U_id249,249,31C,no,d,4,1,2,1144905.8531601226,0.294,3.339,2
31C_T4_D_D1_W_id224,224,31C,yes,d,4,1,2,633946.9313508384,0.294,3.339,2
31C_T5_A_D10_U_id180,180,31C,no,a,5,10,2,103408.64166800884,0.427,3.724,3
31C_T5_A_D10_W_id184,184,31C,yes,a,5,10,2,192844.30254084946,0.427,3.724,3
31C_T5_A_D1_U_id198,198,31C,no,a,5,1,2,680063.18006318,0.427,3.724,3
31C_T5_A_D1_W_id183,183,31C,yes,a,5,1,2,359596.078201139,0.427,3.724,3
31C_T5_C_D10_U_id277,277,31C,no,c,5,10,2,529330.7700301361,-0.028,1.06,1
31C_T5_C_D10_W_id251,251,31C,yes,c,5,10,2,656747.3294092,-0.028,1.06,1
31C_T5_C_D1_U_id278,278,31C,no,c,5,1,2,945424.6983704958,-0.028,1.06,1
31C_T5_C_D1_W_id263,263,31C,yes,c,5,1,2,802785.5962114104,-0.028,1.06,1
31C_T5_D_D3_U_id239,239,31C,no,d,5,3,2,522552.2552255225,0.294,3.339,2
31C_T5_D_D3_W_id221,221,31C,yes,d,5,3,2,530813.7374595255,0.294,3.339,2
